actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,200.0,128.0,0.1,0.5,0.2936364822246606
path_input_fan_id_06,200.0,128.0,0.1,0.5,0.2937208891890025
path_input_fan_id_06,200.0,128.0,0.1,0.5,0.29365182894545
path_input_fan_id_06,200.0,128.0,0.1,0.5,0.2936364822246606
path_input_fan_id_06,200.0,128.0,0.1,0.5,0.2936288088642659
path_input_fan_id_06,200.0,128.0,0.1,0.5,0.2936288088642659
path_input_fan_id_06,200.0,128.0,0.1,0.5,0.2936057887830817
path_input_fan_id_06,200.0,128.0,0.1,0.5,0.2936671756662394
path_input_fan_id_06,200.0,128.0,0.1,0.5,0.2936441555850553
path_input_fan_id_06,200.0,128.0,0.1,0.5,0.29382064287413384
