actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,200.0,128.0,0.1,0.3,0.2937285625493972
path_input_fan_id_06,200.0,128.0,0.1,0.3,0.2936364822246606
path_input_fan_id_06,200.0,128.0,0.1,0.3,0.2936364822246606
path_input_fan_id_06,200.0,128.0,0.1,0.3,0.2936211355038712
path_input_fan_id_06,200.0,128.0,0.1,0.3,0.2936288088642659
path_input_fan_id_06,200.0,128.0,0.1,0.3,0.2936288088642659
path_input_fan_id_06,200.0,128.0,0.1,0.3,0.2935597486207134
path_input_fan_id_06,200.0,128.0,0.1,0.3,0.2940354969651859
path_input_fan_id_06,200.0,128.0,0.1,0.3,0.2936364822246606
path_input_fan_id_06,200.0,128.0,0.1,0.3,0.2936288088642659
