,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,actual_dataset,n_estimators,max_samples,contamination,max_features,bootstrap,n_jobs,random_state,verbose,warm_start,AUC_ROC
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,path_input_fan_id_06,200.0,128.0,0.172,0.3,0.0,3.0,,0.0,0.0,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0.293705542468213
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,path_input_fan_id_06,200.0,128.0,0.172,0.3,0.0,3.0,,0.0,0.0,
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,0.2935904420622923
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,path_input_fan_id_06,200.0,128.0,0.172,0.3,0.0,3.0,,0.0,0.0,
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,0.2936288088642659
6,6.0,6.0,6.0,6.0,6.0,6.0,,,,path_input_fan_id_06,200.0,128.0,0.172,0.3,0.0,3.0,,0.0,0.0,
7,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,0.2936901957474236
8,8.0,8.0,8.0,8.0,8.0,,,,,path_input_fan_id_06,200.0,128.0,0.172,0.3,0.0,3.0,,0.0,0.0,
9,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,0.2936595023058447
10,10.0,10.0,10.0,10.0,,,,,,path_input_fan_id_06,200.0,128.0,0.172,0.3,0.0,3.0,,0.0,0.0,
11,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,0.2936671756662395
12,12.0,12.0,12.0,,,,,,,path_input_fan_id_06,200.0,128.0,0.172,0.3,0.0,3.0,,0.0,0.0,
13,13.0,13.0,13.0,,,,,,,,,,,,,,,,,0.2936364822246606
14,14.0,14.0,,,,,,,,path_input_fan_id_06,200.0,128.0,0.172,0.3,0.0,3.0,,0.0,0.0,
15,15.0,15.0,,,,,,,,,,,,,,,,,,0.2935750953415029
16,16.0,,,,,,,,,path_input_fan_id_06,200.0,128.0,0.172,0.3,0.0,3.0,,0.0,0.0,
17,17.0,,,,,,,,,,,,,,,,,,,0.2936288088642659
18,,,,,,,,,,path_input_fan_id_06,200.0,128.0,0.172,0.3,0.0,3.0,,0.0,0.0,
19,,,,,,,,,,,,,,,,,,,,0.2936288088642659
