actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,AUC_ROC
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.75703525543213,33.08069443702698,84.8377296924591,0.2880195824157273
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.48192143440247,33.127294063568115,84.60921549797058,0.2910275396904566
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.60693502426148,33.110411643981934,84.71734666824341,0.2868225381941514
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.49583840370178,33.15968561172485,84.65552401542664,0.2795942327023273
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.59494948387146,33.1666955947876,84.76164507865906,0.2917181421259812
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.52020883560181,33.23502492904663,84.75523376464844,0.2862240160833634
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.507224559783936,33.16731524467468,84.67453980445862,0.2833158124937653
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.64928150177002,33.473907709121704,85.12318921089172,0.2848121177707353
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.63880014419556,33.15546894073486,84.79426908493042,0.2836534403511329
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.41640043258667,33.170520544052124,84.5869209766388,0.2885336975621734
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.656046867370605,33.20990610122681,84.86595296859741,0.2861396091190215
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.4793758392334,33.07703709602356,84.55641293525696,0.2802694884170624
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.58273649215698,33.029189348220825,84.61192584037781,0.2884646373186209
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.468621253967285,33.032294034957886,84.50091528892517,0.2901681233262482
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.3,30.0,128.0,0.1,0.3,51.41769981384277,33.202093839645386,84.61979365348816,0.2904673843816422
