actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,AUC_ROC
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.400733232498169,7.9922332763671875,15.392966508865356,0.2939357432800546
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.365554332733154,7.993777751922607,15.359332084655762,0.2937515826305814
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.378722429275513,7.9273200035095215,15.306042432785034,0.2948718932482101
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.431748151779175,7.944793701171875,15.37654185295105,0.2941429240107119
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.385686159133911,7.927430868148804,15.313117027282717,0.2940124768840018
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.364437818527222,8.006288528442383,15.370726346969604,0.2936211355038712
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.510024070739746,8.006432294845581,15.516456365585327,0.2933679146108455
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.537636995315552,8.022236824035645,15.559873819351196,0.2933832613316349
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.461712598800659,8.100585222244263,15.562297821044922,0.2938283162345285
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.471752405166626,8.149880647659302,15.621633052825928,0.2932835076465036
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.44749641418457,7.990324020385742,15.437820434570312,0.2937746027117655
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.582217216491699,8.05447769165039,15.63669490814209,0.29324514084453
path_input_fan_id_06,n_estimator-100.0_contamination-0.1_max_samples-128.0_max_features-1.0,100.0,128.0,0.1,1.0,7.453639507293701,8.022349834442139,15.47598934173584,0.2937822760721602
