actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,AUC_ROC
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.113794803619385,14.402830362319946,33.51662516593933,0.303627197458583
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.24345350265503,14.438783884048462,33.68223738670349,0.3358438010758051
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.169390201568604,14.442512035369871,33.61190223693848,0.2833234858541601
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.14264988899231,14.44559121131897,33.58824110031128,0.3000168813928684
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.155932188034058,14.28175687789917,33.43768906593323,0.3380000153467208
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.20816230773925,14.586886644363403,33.79504895210266,0.3681026081751982
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.367335557937626,14.785199403762816,34.15253496170044,0.3069574358698905
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.25151014328003,14.344873189926147,33.59638333320618,0.2904251808994713
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.247443199157715,14.38219428062439,33.629637479782104,0.3028368413379271
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.218480110168457,14.289599657058716,33.50807976722717,0.2997790072206321
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.05348515510559,14.333452463150024,33.386937618255615,0.2953860083946563
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.5,5.0,128.0,0.1,0.5,19.0572726726532,14.440995931625366,33.498268604278564,0.2986586966030033
