actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,AUC_ROC
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,80.20627117156982,47.78822112083435,127.99449229240416,0.288380230354279
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.56603503227234,48.07142424583435,127.63745927810668,0.287674281197965
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.66601753234863,48.0818076133728,127.74782514572144,0.2901604499658535
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.74313259124756,48.23029541969299,127.97342801094057,0.2858019812616539
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.68211007118225,48.06689739227295,127.7490074634552,0.2940585170463701
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.34425926208496,47.98477101325989,127.32903027534483,0.2891322196729613
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.56498169898987,48.06653594970703,127.6315176486969,0.2871678394119136
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.65930271148682,48.037540435791016,127.69684314727785,0.2905364446251947
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.48405170440674,47.92134523391724,127.40539693832396,0.2913728409082189
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.73366808891296,48.093576431274414,127.82724452018738,0.2969820673567575
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.24318432807922,48.02020716667175,127.26339149475098,0.2895696012154602
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.56930613517761,47.96966576576233,127.53897190093994,0.2914112077101926
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.84147787094116,47.92926359176636,127.77074146270752,0.2852188058716554
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.67798066139221,48.03835797309876,127.71633863449097,0.2944652051472901
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.54664993286133,48.03374028205872,127.58039021492004,0.2909047659241411
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.49534702301025,47.95173263549805,127.4470796585083,0.2869606586812563
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.52675819396973,47.84449315071106,127.3712513446808,0.2880042356949379
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.92440605163574,48.64050316810608,128.56490921974182,0.2874057135841499
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.54751586914062,48.34804368019104,127.89555954933168,0.2879965623345432
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.67423725128174,48.42546534538269,128.09970259666443,0.2880579492177009
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-0.5,30.0,256.0,0.1,0.5,79.56383037567139,48.05439567565918,127.61822605133057,0.2917027954051918
