actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,AUC_ROC
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.198625564575195,22.949207067489624,57.14783263206482,0.3083731708627159
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.97265124320984,23.09123039245605,57.06388163566589,0.2825830065760699
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.998135566711426,23.046382188797,57.04451775550842,0.279655619585485
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.03985142707825,23.18497371673584,57.22482514381409,0.3094589513585684
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.09003043174744,22.983282804489136,57.07331323623657,0.2850423185825769
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.98099875450134,22.96601605415344,56.94701480865479,0.291683612004205
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.98003697395325,22.96555161476136,56.9455885887146,0.305626107841407
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.04907250404358,23.064691066741943,57.11376357078552,0.283515319864028
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.0726957321167,22.91300654411316,56.98570227622986,0.3198103145310425
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.97946000099182,23.0024197101593,56.98187971115112,0.2970396175597179
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.979363679885864,23.028095722198486,57.00745940208435,0.2941582707315014
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.853930711746216,23.02949404716492,56.88342475891113,0.3053652135879866
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.2466413974762,22.99759721755981,57.24423861503601,0.3086992886794913
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.1525616645813,23.0165057182312,57.1690673828125,0.3039456419149638
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.00697994232178,23.03243637084961,57.03941631317139,0.294495898588869
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.07720470428467,23.09502935409546,57.17223405838013,0.3066888682560754
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.19734072685242,23.04960346221924,57.246944189071655,0.2934331381742007
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.99958324432373,23.01315426826477,57.0127375125885,0.2772807145433199
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.961992502212524,23.013086557388306,56.97507905960083,0.2978951972437289
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.01323318481445,23.02591061592102,57.039143800735474,0.2973465519755066
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.24474501609802,22.90587306022644,57.15061807632446,0.2825714965354777
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.002312898635864,23.03005361557007,57.03236651420593,0.3031667958348999
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.951257944107056,22.99910688400269,56.95036482810974,0.2950714006184728
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.065051555633545,23.09576106071472,57.16081261634827,0.2882497832275688
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.98016405105591,23.140788078308105,57.120952129364014,0.3160004910950652
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.99640226364136,23.010653257369995,57.00705552101135,0.3205776505705143
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.15207839012146,22.92158365249633,57.0736620426178,0.3020886886994421
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,34.05453610420227,22.967707872390747,57.02224397659302,0.2785506556886457
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.98260140419006,23.045936107635494,57.02853751182556,0.314864833756647
path_input_fan_id_06,n_estimator-7.0_contamination-0.1_max_samples-256.0_max_features-0.8,7.0,256.0,0.1,0.8,33.995017528533936,23.054171562194824,57.04918909072876,0.29210181014571707
