actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,AUC_ROC
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.2313723564148,49.85738182067871,131.0887541770935,0.292592905210979
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.02162742614746,50.0630145072937,131.08464193344116,0.2926926588961103
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.12283754348755,49.90800023078919,131.03083777427673,0.2937515826305814
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.34093499183655,50.059858083724976,131.40079307556152,0.2896386614590127
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.085120677948,49.87685012817383,130.96197080612183,0.2916644286032182
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.06502199172974,49.9206485748291,130.98567056655884,0.2921631970288748
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.40604424476624,50.69690656661987,132.1029508113861,0.2932297941237405
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.39972233772278,49.93267560005188,131.33239793777466,0.2940201502443965
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.54113221168518,49.89160466194153,131.4327368736267,0.2942656977770275
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,80.8951187133789,50.00020599365234,130.89532470703125,0.2922706240744008
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,80.9226803779602,51.83003401756287,132.75271439552307,0.2907206052746679
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,82.23227620124817,62.99258017539978,145.22485637664795,0.294848873167026
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,80.95044326782227,49.68408560752869,130.63452887535095,0.2935290551791346
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.31495380401611,49.92270088195801,131.23765468597412,0.2918255691715072
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.71851682662964,49.980122327804565,131.6986391544342,0.2931837539613723
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,80.67906379699707,50.14974069595337,130.82880449295044,0.2924701314446635
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.01653218269348,50.03614640235901,131.0526785850525,0.2913728409082189
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.42000818252563,49.88414978981018,131.30415797233582,0.2914495745121661
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,80.95858263969421,51.36743092536926,132.32601356506348,0.291395860989403
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.0200548171997,49.82063055038452,130.84068536758423,0.2914342277913766
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.00930047035217,49.95074486732483,130.960045337677,0.2927924125812416
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.15377449989319,49.8550500869751,131.0088245868683,0.2924701314446635
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,80.53774881362915,49.76506590843201,130.30281472206116,0.2933295478088719
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,81.22402739524841,49.85802936553955,131.08205676078796,0.2933142010880825
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,84.83964252471924,53.617045402526855,138.4566879272461,0.2933065277276877
