actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,ACC,Precision,Recall,F1_Score,AUC_ROC
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,35.52685546875,131.03019285202026,166.55704832077026,0.9473684210526316,0.9969230769230768,0.8975069252077562,0.9446064139941692,0.9876151963229256
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.7592191696167,127.5025544166565,156.2617735862732,0.9529085872576176,1.0,0.9058171745152356,0.9505813953488372,0.967365198241266
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.12088513374329,124.19129514694214,152.31218028068542,0.9501385041551248,0.9969418960244648,0.9030470914127424,0.9476744186046512,0.991682077332126
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,29.662362098693848,128.25321650505066,157.9155786037445,0.9501385041551248,0.9909365558912386,0.9085872576177284,0.9479768786127168,0.9595000038366802
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,29.32508444786072,127.47349882125854,156.79858326911926,0.6274238227146814,0.5815602836879432,0.9085872576177284,0.709189189189189,0.9172159513815888
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.50698828697205,140.21367120742798,168.72065949440002,0.9556786703601108,1.0,0.9113573407202216,0.9536231884057972,0.962577021354962
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,29.733694791793823,132.88976192474365,162.62345671653748,0.937673130193906,0.9730538922155688,0.9002770083102493,0.935251798561151,0.9720996616048064
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,31.140899896621704,130.3573009967804,161.4982008934021,0.9570637119113572,0.9824561403508772,0.9307479224376732,0.9559032716927454,0.9635170080033147
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.01956868171692,128.53080081939697,156.5503695011139,0.9529085872576176,1.0,0.9058171745152356,0.9505813953488372,0.9943907735514612
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.82780814170837,132.03520512580872,160.8630132675171,0.9473684210526316,0.9969230769230768,0.8975069252077562,0.9446064139941692,0.9710752679921116
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,31.332331657409668,137.47074031829834,168.803071975708,0.9487534626038782,0.9969325153374232,0.9002770083102493,0.9461426491994176,0.985244127960958
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,29.17881441116333,132.61977791786194,161.79859232902527,0.9598337950138504,1.0,0.9196675900277008,0.958152958152958,0.9850983341134584
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,30.694503784179688,135.7772433757782,166.47174715995789,0.9584487534626038,1.0,0.9168975069252078,0.9566473988439308,0.9555021830710324
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,31.279688835144043,138.71838927268982,169.99807810783386,0.9487534626038782,1.0,0.8975069252077562,0.945985401459854,0.9901819353749588
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,30.21556520462036,141.7820782661438,171.99764347076416,0.9529085872576176,0.990990990990991,0.9141274238227148,0.9510086455331412,0.9554407961878746
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,29.52664351463318,128.739004611969,158.26564812660217,0.9515235457063712,0.9969512195121952,0.9058171745152356,0.9492017416545716,0.9831493005732
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.99311637878418,129.78090977668762,158.7740261554718,0.9487534626038782,0.9969325153374232,0.9002770083102493,0.9461426491994176,0.990976128175812
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,31.191587924957275,148.96669006347656,180.15827798843384,0.9473684210526316,0.9879154078549848,0.9058171745152356,0.945086705202312,0.965101556924824
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,33.95177507400513,140.8080530166626,174.75982809066772,0.9584487534626038,0.9940298507462688,0.922437673130194,0.956896551724138,0.9920005217885068
