actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,AUC_ROC
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.773836135864258,8.229775428771973,16.00361156463623,0.3451093837524267
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.632578372955322,8.25982666015625,15.892405033111572,0.3397917449988873
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.484438419342041,8.23548698425293,15.71992540359497,0.3476262459618941
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.563575744628906,8.260108947753906,15.823684692382812,0.3335456296375872
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.508792161941528,8.259488821029663,15.768280982971191,0.3382724196407333
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.563561677932739,8.291335821151733,15.854897499084473,0.3497594401516256
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.746835231781006,8.357766389846802,16.104601621627808,0.3439967464951926
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.680504560470581,8.369521379470825,16.050025939941406,0.3472809447441318
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.688462018966675,8.305926322937012,15.994388341903688,0.3390167355990209
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.758943557739258,8.339332342147827,16.098275899887085,0.3536728539529316
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.622772932052612,8.342373132705688,15.9651460647583,0.3412113166719102
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.740092277526855,8.353115320205688,16.093207597732544,0.3434135711051941
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.614727735519409,8.30689811706543,15.92162585258484,0.346214347649266
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.633737087249756,8.338871002197266,15.97260808944702,0.3439276862516402
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.62868857383728,8.306970119476318,15.9356586933136,0.3565196706593718
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.680319786071777,8.370274066925049,16.050593852996826,0.3503579622624135
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.663852214813232,8.324289321899414,15.988141536712646,0.3446720022099278
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.633290290832519,8.43177604675293,16.06506633758545,0.3328396804812731
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.634651660919189,8.322140216827393,15.956791877746582,0.3565810575425295
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.657263278961182,8.448578596115112,16.105841875076294,0.3239692758649796
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.75110387802124,8.30690622329712,16.05801010131836,0.3507186102009653
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.685419321060181,8.444552659988403,16.129971981048584,0.3342439054335065
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.617245435714722,8.379215955734253,15.996461391448976,0.3519156544225412
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.670496225357056,8.621956586837769,16.292452812194824,0.3423239539291441
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.726654529571533,8.448658227920532,16.175312757492065,0.3263249975061578
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.760289669036865,8.292093515396118,16.052383184432983,0.3410118093016474
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.687252759933472,8.369891881942749,16.05714464187622,0.3318344702695651
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.623075485229492,8.312532424926758,15.93560791015625,0.3391395093653363
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.66518235206604,8.291763544082642,15.956945896148682,0.3447026956515067
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-1.0,30.0,128.0,0.1,1.0,7.610661745071411,8.370277166366577,15.980938911437988,0.34870818977754925
