actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,AUC_ROC
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.523094892501831,8.276214361190796,15.799309253692629,0.3342976189562695
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.64194655418396,8.276633262634277,15.918579816818236,0.3393773835375726
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.654102087020874,8.684225082397461,16.338327169418335,0.3558137215030578
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.633115530014038,8.265429735183716,15.898545265197754,0.3594355476093646
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.538508415222168,8.213923454284668,15.752431869506836,0.3506418765970181
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.515088558197021,8.244833707809448,15.75992226600647,0.3468051963996593
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.657709121704102,8.416205167770386,16.073914289474487,0.3434519379071677
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.619016885757446,8.22811245918274,15.847129344940186,0.3426385617053276
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.617290496826172,8.252406120300293,15.869696617126465,0.3399221921255975
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.547473192214966,8.136306762695312,15.683779954910278,0.3397610515573084
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.592525482177734,8.183073282241821,15.775598764419556,0.3397303581157296
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.6254448890686035,8.389004707336426,16.01444959640503,0.3458460263503196
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.820400476455688,8.416264057159424,16.236664533615112,0.3432984706992733
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.642746686935425,9.394023895263672,17.036770582199097,0.3588063320569977
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,10.250682830810549,10.43980097770691,20.690483808517456,0.343659118637825
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,8.542046785354614,8.668954372406006,17.21100115776062,0.3328013136792995
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.664468050003052,8.2604501247406,15.924918174743652,0.318713023994598
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.585530757904053,8.275959253311157,15.86149001121521,0.3496213196645206
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.538647890090942,8.276078224182129,15.814726114273071,0.3463141013343974
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.547359228134155,8.2600736618042,15.807432889938354,0.3335226095564031
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.539731740951538,8.264862298965454,15.804594039916992,0.3371290889419203
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.642349720001221,8.281246185302734,15.923595905303957,0.3366993807598161
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-256.0_max_features-1.0,30.0,256.0,0.1,1.0,7.507336854934692,8.34176778793335,15.849104642868042,0.3345124730473216
