actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,ACC,Precision,Recall,F1_Score,AUC_ROC
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,30.130279541015625,126.20249724388124,156.33277678489685,0.9487534626038782,0.9969325153374232,0.9002770083102493,0.9461426491994176,0.9502190744392692
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.62774419784546,125.77653527259828,154.40427947044373,0.9335180055401662,0.9671641791044776,0.8975069252077562,0.9310344827586208,0.9688231367162622
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.365235805511475,123.99229383468628,152.35752964019775,0.9542936288088644,1.0,0.9085872576177284,0.9521044992743106,0.9701851581863248
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,27.77916049957276,122.94915413856506,150.72831463813782,0.92797783933518,0.9478260869565216,0.9058171745152356,0.9263456090651558,0.936349475525817
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,27.791430234909058,124.37338781356812,152.16481804847717,0.9584487534626038,1.0,0.9168975069252078,0.9566473988439308,0.9835368052731333
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.63240933418274,128.78228569030762,157.41469502449036,0.9418282548476454,0.9848024316109424,0.8975069252077562,0.9391304347826088,0.9373700324583144
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,31.350345611572266,123.60102486610413,154.9513704776764,0.945983379501385,0.9938650306748468,0.8975069252077562,0.943231441048035,0.938689850446206
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.041710376739506,124.28023028373718,152.32194066047668,0.9445983379501384,0.9734513274336284,0.9141274238227148,0.9428571428571428,0.9361729882367388
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,27.960717916488647,123.78270864486694,151.7434265613556,0.9501385041551248,0.9909365558912386,0.9085872576177284,0.9479768786127168,0.96853538570146
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-0.3,5.0,128.0,0.1,0.3,28.053152084350586,123.85064268112183,151.9037947654724,0.9529085872576177,1.0,0.9058171745152355,0.9505813953488372,0.9830840770098449
