actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,128.0,0.1,0.5,0.2961686911549174
path_input_fan_id_06,100.0,128.0,0.1,0.5,0.2942350043354486
path_input_fan_id_06,100.0,128.0,0.1,0.5,0.2956238825668925
path_input_fan_id_06,100.0,128.0,0.1,0.5,0.2940508436859754
path_input_fan_id_06,100.0,128.0,0.1,0.5,0.2939510900008441
path_input_fan_id_06,100.0,128.0,0.1,0.5,0.2942963912186063
path_input_fan_id_06,100.0,128.0,0.1,0.5,0.2937439092701867
path_input_fan_id_06,100.0,128.0,0.1,0.5,0.2941352506503172
path_input_fan_id_06,100.0,128.0,0.1,0.5,0.2941429240107119
path_input_fan_id_06,100.0,128.0,0.1,0.5,0.29324514084453
