actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,256.0,0.1,0.5,0.2942273309750539
path_input_fan_id_06,100.0,256.0,0.1,0.5,0.293843662955318
path_input_fan_id_06,100.0,256.0,0.1,0.5,0.2938359895949233
path_input_fan_id_06,100.0,256.0,0.1,0.5,0.2936441555850553
path_input_fan_id_06,100.0,256.0,0.1,0.5,0.2939587633612388
path_input_fan_id_06,100.0,256.0,0.1,0.5,0.2938206428741338
path_input_fan_id_06,100.0,256.0,0.1,0.5,0.2941045572087384
path_input_fan_id_06,100.0,256.0,0.1,0.5,0.2936978691078183
path_input_fan_id_06,100.0,256.0,0.1,0.5,0.2935520752603187
path_input_fan_id_06,100.0,256.0,0.1,0.5,0.2941199039295278
