actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,128.0,0.1,0.8,0.2946877325987369
path_input_fan_id_06,100.0,128.0,0.1,0.8,0.2931607338801881
path_input_fan_id_06,100.0,128.0,0.1,0.8,0.2940048035236071
path_input_fan_id_06,100.0,128.0,0.1,0.8,0.2936825223870289
path_input_fan_id_06,100.0,128.0,0.1,0.8,0.2934753416563715
path_input_fan_id_06,100.0,128.0,0.1,0.8,0.2940661904067648
path_input_fan_id_06,100.0,128.0,0.1,0.8,0.294603325634395
path_input_fan_id_06,100.0,128.0,0.1,0.8,0.2938513363157127
path_input_fan_id_06,100.0,128.0,0.1,0.8,0.2946800592383422
path_input_fan_id_06,100.0,128.0,0.1,0.8,0.29552412888176116
