actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,256.0,0.1,1.0,0.294196637533475
path_input_fan_id_06,100.0,256.0,0.1,1.0,0.2946493657967634
path_input_fan_id_06,100.0,256.0,0.1,1.0,0.2939203965592651
path_input_fan_id_06,100.0,256.0,0.1,1.0,0.2934446482147927
path_input_fan_id_06,100.0,256.0,0.1,1.0,0.2936288088642659
path_input_fan_id_06,100.0,256.0,0.1,1.0,0.2937822760721602
path_input_fan_id_06,100.0,256.0,0.1,1.0,0.2941812908126855
path_input_fan_id_06,100.0,256.0,0.1,1.0,0.2937976227929497
path_input_fan_id_06,100.0,256.0,0.1,1.0,0.2943270846601852
path_input_fan_id_06,100.0,256.0,0.1,1.0,0.2936748490266342
