actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,256.0,0.172,0.5,0.2940661904067648
path_input_fan_id_06,100.0,256.0,0.172,0.5,0.2941582707315014
path_input_fan_id_06,100.0,256.0,0.172,0.5,0.2947491194818947
path_input_fan_id_06,100.0,256.0,0.172,0.5,0.2939587633612388
path_input_fan_id_06,100.0,256.0,0.172,0.5,0.2937976227929497
path_input_fan_id_06,100.0,256.0,0.172,0.5,0.2935520752603187
path_input_fan_id_06,100.0,256.0,0.172,0.5,0.2938590096761074
path_input_fan_id_06,100.0,256.0,0.172,0.5,0.2936441555850553
path_input_fan_id_06,100.0,256.0,0.172,0.5,0.2939971301632123
path_input_fan_id_06,100.0,256.0,0.172,0.5,0.29386668303650215
