actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,128.0,0.172,0.8,0.2940661904067648
path_input_fan_id_06,100.0,128.0,0.172,0.8,0.2939894568028176
path_input_fan_id_06,100.0,128.0,0.172,0.8,0.2934062814128191
path_input_fan_id_06,100.0,128.0,0.172,0.8,0.2939434166404493
path_input_fan_id_06,100.0,128.0,0.172,0.8,0.2943501047413693
path_input_fan_id_06,100.0,128.0,0.172,0.8,0.2934599949355821
path_input_fan_id_06,100.0,128.0,0.172,0.8,0.2944038182641323
path_input_fan_id_06,100.0,128.0,0.172,0.8,0.2953706616738668
path_input_fan_id_06,100.0,128.0,0.172,0.8,0.2933065277276877
path_input_fan_id_06,100.0,128.0,0.172,0.8,0.29425035105623804
