actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,256.0,0.172,0.3,0.293705542468213
path_input_fan_id_06,100.0,256.0,0.172,0.3,0.2943117379393957
path_input_fan_id_06,100.0,256.0,0.172,0.3,0.2938590096761074
path_input_fan_id_06,100.0,256.0,0.172,0.3,0.2940124768840018
path_input_fan_id_06,100.0,256.0,0.172,0.3,0.2936441555850553
path_input_fan_id_06,100.0,256.0,0.172,0.3,0.2936825223870289
path_input_fan_id_06,100.0,256.0,0.172,0.3,0.2939127231988704
path_input_fan_id_06,100.0,256.0,0.172,0.3,0.2938052961533444
path_input_fan_id_06,100.0,256.0,0.172,0.3,0.2936211355038712
path_input_fan_id_06,100.0,256.0,0.172,0.3,0.29370554246821307
