actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,128.0,0.172,0.3,0.2944191649849218
path_input_fan_id_06,100.0,128.0,0.172,0.3,0.2947798129234735
path_input_fan_id_06,100.0,128.0,0.172,0.3,0.2938359895949232
path_input_fan_id_06,100.0,128.0,0.172,0.3,0.2935290551791346
path_input_fan_id_06,100.0,128.0,0.172,0.3,0.2956852694500502
path_input_fan_id_06,100.0,128.0,0.172,0.3,0.293897376478081
path_input_fan_id_06,100.0,128.0,0.172,0.3,0.2936134621434764
path_input_fan_id_06,100.0,128.0,0.172,0.3,0.2936057887830817
path_input_fan_id_06,100.0,128.0,0.172,0.3,0.2956469026480766
path_input_fan_id_06,100.0,128.0,0.172,0.3,0.29402782360479124
