actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,128.0,0.1,0.3,0.2940278236047912
path_input_fan_id_06,100.0,128.0,0.1,0.3,0.2950560538976833
path_input_fan_id_06,100.0,128.0,0.1,0.3,0.2937132158286077
path_input_fan_id_06,100.0,128.0,0.1,0.3,0.2940124768840018
path_input_fan_id_06,100.0,128.0,0.1,0.3,0.2936211355038711
path_input_fan_id_06,100.0,128.0,0.1,0.3,0.2938129695137391
path_input_fan_id_06,100.0,128.0,0.1,0.3,0.2940354969651859
path_input_fan_id_06,100.0,128.0,0.1,0.3,0.2940968838483436
path_input_fan_id_06,100.0,128.0,0.1,0.3,0.293897376478081
path_input_fan_id_06,100.0,128.0,0.1,0.3,0.2940585170463701
