actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,256.0,0.1,0.8,0.2938820297572916
path_input_fan_id_06,100.0,256.0,0.1,0.8,0.2939664367216335
path_input_fan_id_06,100.0,256.0,0.1,0.8,0.2940048035236071
path_input_fan_id_06,100.0,256.0,0.1,0.8,0.2936671756662395
path_input_fan_id_06,100.0,256.0,0.1,0.8,0.2943117379393958
path_input_fan_id_06,100.0,256.0,0.1,0.8,0.2936057887830817
path_input_fan_id_06,100.0,256.0,0.1,0.8,0.2939587633612388
path_input_fan_id_06,100.0,256.0,0.1,0.8,0.2939127231988704
path_input_fan_id_06,100.0,256.0,0.1,0.8,0.2937208891890025
path_input_fan_id_06,100.0,256.0,0.1,0.8,0.29414292401071196
