actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,256.0,0.172,0.8,0.293544401899924
path_input_fan_id_06,100.0,256.0,0.172,0.8,0.2943424313809746
path_input_fan_id_06,100.0,256.0,0.172,0.8,0.2939434166404493
path_input_fan_id_06,100.0,256.0,0.172,0.8,0.2937592559909761
path_input_fan_id_06,100.0,256.0,0.172,0.8,0.2944345117057113
path_input_fan_id_06,100.0,256.0,0.172,0.8,0.2937746027117655
path_input_fan_id_06,100.0,256.0,0.172,0.8,0.2940278236047912
path_input_fan_id_06,100.0,256.0,0.172,0.8,0.2936978691078183
path_input_fan_id_06,100.0,256.0,0.172,0.8,0.2938513363157127
path_input_fan_id_06,100.0,256.0,0.172,0.8,0.29412757728992256
