actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,128.0,0.172,1.0,0.2950714006184728
path_input_fan_id_06,100.0,128.0,0.172,1.0,0.2940968838483437
path_input_fan_id_06,100.0,128.0,0.172,1.0,0.2936441555850553
path_input_fan_id_06,100.0,128.0,0.172,1.0,0.2936595023058447
path_input_fan_id_06,100.0,128.0,0.172,1.0,0.2935904420622923
path_input_fan_id_06,100.0,128.0,0.172,1.0,0.2944268383453166
path_input_fan_id_06,100.0,128.0,0.172,1.0,0.29365182894545
path_input_fan_id_06,100.0,128.0,0.172,1.0,0.2947107526799211
path_input_fan_id_06,100.0,128.0,0.172,1.0,0.2940815371275542
path_input_fan_id_06,100.0,128.0,0.172,1.0,0.2944114916245271
