actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,256.0,0.172,1.0,0.2939280699196599
path_input_fan_id_06,100.0,256.0,0.172,1.0,0.2945265920304479
path_input_fan_id_06,100.0,256.0,0.172,1.0,0.2939434166404493
path_input_fan_id_06,100.0,256.0,0.172,1.0,0.2936134621434764
path_input_fan_id_06,100.0,256.0,0.172,1.0,0.2934830150167662
path_input_fan_id_06,100.0,256.0,0.172,1.0,0.2937976227929497
path_input_fan_id_06,100.0,256.0,0.172,1.0,0.2940354969651859
path_input_fan_id_06,100.0,256.0,0.172,1.0,0.2942887178582116
path_input_fan_id_06,100.0,256.0,0.172,1.0,0.2944882252284743
path_input_fan_id_06,100.0,256.0,0.172,1.0,0.293897376478081
