actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,256.0,0.1,0.3,0.2937132158286078
path_input_fan_id_06,100.0,256.0,0.1,0.3,0.2941045572087384
path_input_fan_id_06,100.0,256.0,0.1,0.3,0.2936901957474236
path_input_fan_id_06,100.0,256.0,0.1,0.3,0.2938283162345285
path_input_fan_id_06,100.0,256.0,0.1,0.3,0.2940048035236071
path_input_fan_id_06,100.0,256.0,0.1,0.3,0.293736235909792
path_input_fan_id_06,100.0,256.0,0.1,0.3,0.2948028330046577
path_input_fan_id_06,100.0,256.0,0.1,0.3,0.2940738637671595
path_input_fan_id_06,100.0,256.0,0.1,0.3,0.2939050498384757
path_input_fan_id_06,100.0,256.0,0.1,0.3,0.29385133631571275
