actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,ACC,Precision,Recall,F1_Score,AUC_ROC
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-1.0,5.0,128.0,0.1,1.0,27.64695715904236,33.401313066482544,61.0482702255249,1.0,1.0,1.0,1.0,0.9863644385785868
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-1.0,5.0,128.0,0.1,1.0,27.74293327331543,33.305639028549194,61.048572301864624,0.9090909090909092,1.0,0.7777777777777778,0.8750000000000001,0.9743748129618408
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-1.0,5.0,128.0,0.1,1.0,27.58539080619812,33.5059597492218,61.09135055541992,0.8636363636363636,0.8888888888888888,0.8,0.8421052631578948,0.9568603678608972
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-1.0,5.0,128.0,0.1,1.0,27.55587911605835,33.305431842803955,60.86131095886231,0.9090909090909092,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9667820228512672
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-1.0,5.0,128.0,0.1,1.0,27.667650938034058,33.40015721321106,61.06780815124512,0.9545454545454546,1.0,0.9230769230769232,0.96,0.976979918815847
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-1.0,5.0,128.0,0.1,1.0,27.77007508277893,33.38857412338257,61.1586492061615,0.9090909090909092,1.0,0.8333333333333334,0.9090909090909092,0.9911986556272588
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-1.0,5.0,128.0,0.1,1.0,27.81636619567871,33.49592876434326,61.31229496002197,1.0,1.0,1.0,1.0,0.971815747270202
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-1.0,5.0,128.0,0.1,1.0,27.56785559654236,34.022915840148926,61.59077143669128,1.0,1.0,1.0,1.0,0.9921232955548224
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-1.0,5.0,128.0,0.1,1.0,27.674018144607544,33.03610634803772,60.710124492645264,1.0,1.0,1.0,1.0,0.9518995403657124
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-128.0_max_features-1.0,5.0,128.0,0.1,1.0,27.502999305725098,33.442901372909546,60.94590067863464,0.9545454545454546,1.0,0.9285714285714286,0.962962962962963,0.9786412013413032
